"","MAbias","MAvar","MAmse","poisbias","poisvar","poismse","gambias","gamvar","gammse","weibbias","weibvar","weibmse","bptbias","bptvar","bptmse","lnormbias","lnormvar","lnormmse"
"1",-74.100456113142,22357.5477372002,27848.4253333759,-55.0895946424712,501414.155000448,504449.01843832,-72.1008345452858,23862.7676919067,29061.2980340334,-74.100456113142,22357.5477372002,27848.4253333759,-79.6216718681064,25706.1653715051,32045.7760025775,-66.9979739927999,27764.0244794944,32252.7529986342
"2",-67.7714654999104,14497.3713927235,19090.3429287291,-66.1251781817055,100656.939032767,105029.478222329,-65.5368766437891,16092.1535723352,20387.2357725585,-67.7714654999104,14497.3713927235,19090.3429287291,-65.1674029073595,21108.27391103,25355.0643127201,-63.1234596249326,21828.485208927,25813.0563639475
"3",-1.45063400767481,350103.738051577,350105.842390601,11.232747146322,873534.849005234,873661.023613687,17.173235218052,436375.410891792,436670.330899647,-1.45063400767481,350103.738051577,350105.842390601,-77.2184632283233,857193.846629963,863156.537693306,156.259764546341,1800229.86464882,1824646.9786649
"4",20381.2571764994,723562339.810655,1138957983.90526,19462.8756174002,1214573059.04955,1593376586.34794,19168.0440829479,740027863.995056,1107441777.96089,20381.2571764994,723562339.810655,1138957983.90526,16255.9625644681,2021454584.10432,2285710903.0017,42339.0329035832,65914534843.0056,67707128550.2163
"5",628648.402139236,1474818361073.46,1870017174585.68,630547.424228788,410057424426.022,807647478627.581,628648.402139236,1474818361073.46,1870017174585.68,734666.403210539,7031976550734.42,7571711274740.74,193176.097591984,1330243521487.98,1367560526168.85,3424881.10393729,2964223490382215,2975953300958322
"6",308.117705797691,78691.4410743576,173627.96170039,310.689446952548,292074.293866601,388602.22631428,308.949530763065,103001.416223431,198451.228782149,308.117705797691,78691.4410743576,173627.96170039,299.349660772497,285727.554737814,375337.774142423,359.954264580441,259998.62313111,389565.695720756
"7",199.948232399339,92771.6276784705,132750.92331809,201.514584216799,391016.621842828,431624.749494898,201.052246656433,114264.562569057,154686.568454656,199.948232399339,92771.6276784705,132750.92331809,188.956079651942,188492.300336348,224196.700373779,267.520730029356,321934.673580665,393502.014576104
"8",459.264230547362,139464.671110554,350388.304570815,446.113860528993,412649.885953289,611667.462509371,457.777036264234,144044.058748827,353603.873679693,460.411090210819,138120.730777095,350099.10276621,431.152679568876,223305.065021578,409197.698121,489.607788355705,264605.472033701,504321.258452266
"9",16.4872797001021,8014.12410588644,8285.95449779584,15.0515625267478,18821.3410637135,19047.8905982101,16.9830215433849,8955.52212878775,9243.94514953083,16.4872797001021,8014.12410588644,8285.95449779584,19.4721613253982,29158.6606211715,29537.8256878538,33.2877971130731,27390.5186170892,28498.5960537303
"10",2139.40159589499,11529129.0103245,16106168.1988425,2129.31111396887,11717823.9683552,16251789.7884266,2072.67069761978,6525540.06525087,10821503.8860225,2011.09306896042,4578944.33267349,8623439.66469411,1761.5395030569,18971734.1862017,22074755.6070317,3759.43746027656,603218939.8514,617352309.869131
"11",2.15716503047088,407951.606197159,407956.259558128,39.5634631950807,5993993.12062843,5995558.38824842,-7.81230533460257,496669.628037195,496730.660151836,2.15716503047088,407951.606197159,407956.259558128,-17.1477827528502,862645.411091986,862939.457545325,78.3758604284062,737376.602533119,743519.378031012
"12",-380.94289620617,90129.2530994522,235246.743269397,-407.127400605276,23432.0527828576,189184.773106466,-408.681105657214,20356.0293800707,187376.275501274,-406.957157846964,22331.1175908664,187945.245913745,-407.272935358925,78469.2643500368,244340.508225912,-380.94289620617,90129.2530994522,235246.743269397
"13",989.797176504124,1068682.62882595,2048381.07944149,987.589909863461,1695322.04392817,2670655.87399229,972.185965120715,1074197.31719161,2019342.8679693,972.093968334952,992979.825199454,1937946.50847265,753.833256055432,1731024.60452655,2299289.18246168,1185.48799692886,4583015.04776295,5988396.83862535
"14",192.339466725388,221829.863549927,258824.334010133,182.710111241433,187298.577538591,220681.562288448,196.979154168186,229834.342275877,268635.129452691,185.298489919601,224729.164774645,259064.69514113,156.896926815062,697561.4917244,722178.13736841,255.129899198968,893160.945314603,958252.210779878
