Name,Tectonic_region,Faulting_style,Method,Longitude,Latitude,Location_accuracy,NoEvents
SanJacintoMysticLake,Plate_boundary_network,Strike_slip,Trench,-117.083,33.896,Approximate,13
SertengPiedmontWujia,Active_intraplate,Strike_slip,Trench,108.5,41.25,Approximate,5
Snowden,Near_plate_boundary,Normal,Trench,176.2875,-38.256,Approximate,5
SolitarioCanyon,Near_plate_boundary,Normal,Trench,-116.572,38.8,Approximate,5
StagecoachRoad,Near_plate_boundary,Normal,Trench,-116.45,36.73,Approximate,5
SumatraMentawai,Subduction,Reverse,Paleogeodesy,98.865,-2.622,Approximate,13
Tanna,Near_plate_boundary,Strike_slip,Trench,139.0206,35.0917,Approximate,9
TetonLakes,Near_plate_boundary,Normal,Turbidite,-110.731303,43.764,Approximate,8
Vernon,Plate_boundary_network,Strike_slip,Trench,174.1104,-41.5605,Approximate,5
WairarapaSouth,Plate_boundary_network,Strike_slip,Trench,175,-41.362,Approximate,6
Wairau,Plate_boundary_network,Strike_slip,Trench,173.657,-41.515,Approximate,5
Waitangi,Near_plate_boundary,Reverse,Trench,170.3316,-44.6216,Approximate,7
WasatchBrigham,Near_plate_boundary,Strike_slip,Trench,-112.005,41.4722,Approximate,6
WasatchNephi,Near_plate_boundary,Strike_slip,Trench,-111.8143,39.8136,Approximate,6
WasatchWeber,Near_plate_boundary,Strike_slip,Trench,-111.9049,41.0967,Approximate,5
Wharekuri,Near_plate_boundary,Strike_slip,Trench,170.2885,-44.6479,Approximate,5
Whirinaki,Near_plate_boundary,Normal,Trench,176.228,-38.335,Approximate,8
WindyWash,Near_plate_boundary,Normal,Trench,-116.53,36.92,Approximate,7
WulashanPiedmontHeshunzhuangBotou,Active_intraplate,Strike_slip,Trench,109.75,40.6,Approximate,7
WulashanPiedmontJinmiaoziHeshuzhuang,Active_intraplate,Strike_slip,Trench,109,40.6,Approximate,6
WutaiNorthPiedmont,Active_intraplate,Normal,Trench,102.677,35.667,Approximate,5
Xorkoli,Plate_boundary_master,Strike_slip,Trench,91.62,38.88,Approximate,9
Zemuhe,Active_intraplate,Strike_slip,Trench,102.38,27.6,Approximate,8
